Tumtum | Hecuba | The bend in the trail in the dwarf forest | Fri Oct 25 08:40:56 2002
Seindal | Gamache | By the beautiful waterfall | Sun Feb 23 11:28:56 2003
Eldgrim | Gamache | The bend in the trail in the dwarf forest | Sun Feb 23 11:45:20 2003
Kincaid | Gamache | The bend in the trail in the dwarf forest | Sun Feb 23 11:45:23 2003
Zondra | Larin | By the Temple Altar | Sun Feb 23 15:59:19 2003
Remmshokena | Kardon | The village shrine | Sun Feb 23 16:07:48 2003
Larin | Zornath | By the Temple Altar | Sun Feb 23 16:27:39 2003
Zornath | Zornath | Up the rocky hillside | Sun Feb 23 16:42:29 2003
Kardon | Faunus | The village shrine | Sun Feb 23 16:42:38 2003
Zondra | Gamache | A Narrow Trail Through the Foothills | Sun Feb 23 16:52:07 2003
Vladamir | Larin | Fourth Level | Sun Feb 23 17:37:52 2003
Vladamir | Banderos | The Mystical Path | Sun Feb 23 18:10:12 2003
Setekha | Banderos | Inside the Tower of the Eternal Collective. | Sun Feb 23 18:15:06 2003
Vladamir | Marijuana | The Mystical Path | Sun Feb 23 18:22:20 2003
Zondra | Darantin | Inside the East Gate of Midgaard | Sun Feb 23 19:05:20 2003
Vladamir | Darantin | At a muddy track | Sun Feb 23 19:06:43 2003
Tanulran | Gamache | Dragon Sea | Sun Feb 23 19:16:07 2003
Remmshokena | Banderos | Above the Dragon Chamber | Sun Feb 23 20:49:07 2003
Zondra | Faunus | A dim trail in the dwarf forest | Sun Feb 23 20:50:55 2003
Tanulran | Rodd | Wall Road | Sun Feb 23 21:48:02 2003
Zondra | Rodd | On the Threshold of the Foothills of Mount Cim | Sun Feb 23 21:52:38 2003
Rodd | Banderos | By the Temple Altar | Sun Feb 23 22:04:06 2003
Darantin | Dre | At a muddy track | Sun Feb 23 23:13:42 2003
Dre | Darantin | By the beautiful waterfall | Sun Feb 23 23:16:54 2003
Darantin | Banderos | By the beautiful waterfall | Sun Feb 23 23:40:00 2003
Darantin | Banderos | By the beautiful waterfall | Sun Feb 23 23:46:06 2003
Darnel | Banderos | The Quadruple Junction Under the Dump | Mon Feb 24 00:26:59 2003
Vladamir | Callad | At a muddy track | Mon Feb 24 01:57:53 2003
Callad | Eminem | The Entrance | Mon Feb 24 02:18:43 2003
Illtrastin | Eminem | By the Temple Altar | Mon Feb 24 07:49:55 2003
Vladamir | Gamache | A path in the park | Mon Feb 24 13:12:52 2003
Rodd | Mzerd | The Common Square | Mon Feb 24 13:23:41 2003
Norathar | Hrishgrin | Before the Imperial Road | Mon Feb 24 15:35:01 2003
Norathar | Hrishgrin | The Inner Gates | Mon Feb 24 15:37:55 2003
Norathar | Hrishgrin | The Mouth of a Cave | Mon Feb 24 15:51:10 2003
Norathar | Hrishgrin | The Mouth of a Cave | Mon Feb 24 15:54:58 2003
Hrishgrin | Hrishgrin | Barn | Mon Feb 24 16:00:04 2003
Callad | Banderos | Entrance to the Grunting Boar Inn | Mon Feb 24 18:33:09 2003
Argon | Gamache | By the beautiful waterfall | Mon Feb 24 19:04:51 2003
Darantin | Banderos | By the beautiful waterfall | Mon Feb 24 19:17:30 2003
Banderos | Gamache | By the Temple Altar | Mon Feb 24 19:20:20 2003
Argon | Bobby | At a muddy track | Mon Feb 24 19:30:09 2003
Argon | Gamache | By the beautiful waterfall | Mon Feb 24 19:40:00 2003
Tanulran | Sycho | The Temple Of Mota | Mon Feb 24 20:15:03 2003
Faunus | Gamache | Entering the village | Mon Feb 24 20:23:00 2003
Tanulran | Illtrastin | By the Temple Altar | Mon Feb 24 21:31:35 2003
Argon | Slarith | The Guest Room | Mon Feb 24 21:40:49 2003
Acmeicedtea | Illtrastin | The Guest Room | Mon Feb 24 21:41:25 2003
Acmeicedtea | Slarith | End of the eastern wing | Mon Feb 24 21:55:32 2003
Slarith | Kardon | By the Temple Altar | Mon Feb 24 21:57:47 2003
Destilnon | Kardon | By the Temple Altar | Mon Feb 24 21:58:16 2003
Argon | Slarith | The hidden room | Mon Feb 24 22:16:00 2003
Argon | Argon | The Temple Of Mota | Mon Feb 24 22:29:55 2003
Tanulran | Slarith | By the Temple Altar | Mon Feb 24 22:39:46 2003
Marxist | Slarith | {YIntersection of Dungeon Drive and Colton Circle{x | Mon Feb 24 22:53:26 2003
Faunus | Canceraus | The Grunting Boar | Mon Feb 24 23:04:21 2003
Canceraus | Sycho | The village shrine | Mon Feb 24 23:55:54 2003
Faunus | Eminem | Grassy fields | Tue Feb 25 00:02:09 2003
Shalbane | Trylartin | Southern end of the undead roaming grounds | Tue Feb 25 00:34:39 2003
Theablar | Trylartin | Inside a tent | Tue Feb 25 04:35:43 2003
Argon | Snoopy | The Captain's room | Tue Feb 25 12:58:18 2003
Snoopy | Gamache | By the beautiful waterfall | Tue Feb 25 13:22:36 2003
Argon | Sylus | Entrance to the Prison Courtyard | Tue Feb 25 14:47:11 2003
Fordus | Sylus | The bottom of a stairwell | Tue Feb 25 15:05:43 2003
Zokzak | Sincere | The village shrine | Tue Feb 25 16:08:49 2003
Raisin | Sycho | Main Street | Tue Feb 25 18:20:05 2003
Chuckers | Darantin | Market Square | Tue Feb 25 18:52:37 2003
Chuckers | Darantin | Market Square | Tue Feb 25 18:56:07 2003
Rinaldi | Fordus | The Valley of the Elves | Tue Feb 25 19:04:00 2003
Callad | Legiar | City Hall | Tue Feb 25 19:18:28 2003
Katja | Katja | Necromancer Sanctum | Tue Feb 25 20:25:38 2003
Sincere | Slarith | Swiftest Way | Tue Feb 25 21:38:19 2003
Drothan | Sincere | Inside the East Gate of Midgaard | Tue Feb 25 21:50:38 2003
Tanulran | Mehendais | The Pet Shop | Tue Feb 25 21:59:14 2003
Callad | Slarith | At a muddy track | Tue Feb 25 22:01:12 2003
Callad | Slarith | The Sands of Sorrow | Tue Feb 25 22:34:47 2003
Marijuana | Eminem | At a muddy track | Tue Feb 25 23:20:20 2003
Slarith | Eminem | The Cross Roads | Tue Feb 25 23:42:42 2003
Trylartin | Marijuana | The Lane | Wed Feb 26 01:04:12 2003
Fuhrman | Marijuana | The Lane | Wed Feb 26 01:04:30 2003
Illtrastin | Illtrastin | In the air ... | Wed Feb 26 01:17:59 2003
Vasq | Marijuana | At a muddy track | Wed Feb 26 04:37:05 2003
Vasq | Marijuana | Inside the East Gate of Midgaard | Wed Feb 26 04:40:44 2003
Vasq | Marijuana | Village road | Wed Feb 26 04:47:25 2003
Vasq | Marijuana | Village road | Wed Feb 26 05:00:04 2003
Illiet | Vasq | Entrance Hall to the Guild of Swordsmen | Wed Feb 26 05:15:10 2003
Tael | Tael | The Temple Of Mota | Wed Feb 26 05:45:27 2003
Sillior | Vasq | The Temple Of Mota | Wed Feb 26 06:27:35 2003
Sillior | Hedaya | Entrance to Mud School | Wed Feb 26 06:28:54 2003
Sillior | Geshae | By the Temple Altar | Wed Feb 26 06:47:50 2003
Sillior | Illiet | By the Temple Altar | Wed Feb 26 06:54:52 2003
Sillior | Illiet | The Temple Of Mota | Wed Feb 26 06:55:48 2003
Tael | Illiet | By the Temple Altar | Wed Feb 26 07:18:19 2003
Jalli | Illiet | By the Temple Altar | Wed Feb 26 07:19:27 2003
Tael | Illiet | On the Concourse at Elm Street | Wed Feb 26 07:24:40 2003
Vasq | Sillior | The Temple Square | Wed Feb 26 07:45:54 2003
Vasq | Sillior | Market Square | Wed Feb 26 07:54:17 2003
Nodrin | Illiet | Market Square | Wed Feb 26 08:01:41 2003
Vaelkryn | Illiet | Wall Road | Wed Feb 26 08:19:33 2003
Sillior | Sillior | By the Temple Altar | Wed Feb 26 08:36:50 2003
Alezath | Alezath | The Cross Roads | Wed Feb 26 08:46:39 2003
Vasq | Eminem | The Temple Square | Wed Feb 26 08:47:40 2003
Zokzak | Zokzak | By the Temple Altar | Wed Feb 26 08:47:47 2003
Gababa | Vasq | The Temple Square | Wed Feb 26 08:51:20 2003
Vasq | Vasq | Graelik's Lair | Wed Feb 26 08:55:07 2003
Nodrin | Eminem | The Temple Square | Wed Feb 26 09:02:16 2003
Jalli | Eminem | The Cross Roads | Wed Feb 26 09:20:36 2003
Tissel | Eminem | Market Square | Wed Feb 26 09:30:42 2003
Tissel | Illiet | A small ugly cave | Wed Feb 26 09:51:34 2003
Raider | Eminem | City street | Wed Feb 26 09:53:38 2003
MenimE | Krevindar | By the Temple Altar | Wed Feb 26 10:09:05 2003
Krevindar | Zokzak | By the Temple Altar | Wed Feb 26 10:09:08 2003
Tissel | Krevindar | Outside the East Gate of Midgaard | Wed Feb 26 10:11:12 2003
Khaor | Krevindar | The dwarf forest | Wed Feb 26 10:24:51 2003
ErD | ErD | Inside the East Gate of Midgaard | Wed Feb 26 10:26:21 2003
Illiet | Jalli | Along the Eastern Road | Wed Feb 26 10:27:53 2003
Livien | Krevindar | The Temple Of Mota | Wed Feb 26 10:30:06 2003
Makatika | Krevindar | Outside the Entrance to the Golden Citadel | Wed Feb 26 10:39:41 2003
Makatika | Eminem | The Common Square | Wed Feb 26 10:46:02 2003
Tissel | Vensharin | The dwarf forest | Wed Feb 26 11:02:50 2003
Vensharin | Gamache | Within the Dead Woodlands | Wed Feb 26 11:38:49 2003
Niennah | Srakopuz | Within the Dead Forest | Wed Feb 26 11:39:50 2003
Vensharin | Gamache | Grassy fields | Wed Feb 26 11:42:19 2003
Kortwayn | Krevindar | The Common Square | Wed Feb 26 11:50:04 2003
Tissel | Niennah | Beneath the Archway | Wed Feb 26 11:58:15 2003
Gamache | Eminem | The chapel | Wed Feb 26 11:58:49 2003
Srakopuz | Niennah | The Hallway of Giants | Wed Feb 26 12:01:39 2003
Tissel | Tissel | The darker dwarf forest | Wed Feb 26 12:13:52 2003
Tissel | Khaor | Grassy fields | Wed Feb 26 12:22:02 2003
Tissel | Kurdan | The bend in the trail in the dwarf forest | Wed Feb 26 12:47:32 2003
Tasu | Niennah | At the top of a guard tower | Wed Feb 26 12:58:49 2003
Reak | Xzar | Big House | Wed Feb 26 13:13:05 2003
Faunus | Niennah | A dim trail in the dwarf forest | Wed Feb 26 13:21:42 2003
Xzar | Remmshokena | Grassy fields | Wed Feb 26 13:31:32 2003
Khaor | Xzar | Grassy fields | Wed Feb 26 13:40:31 2003
Faunus | Faunus | Entering the village | Wed Feb 26 14:33:09 2003
Raider | Krevindar | The Cross Roads | Wed Feb 26 14:43:36 2003
Krevindar | Krevindar | At the top of a short staircase | Wed Feb 26 14:59:55 2003
Niennah | Gamache | The Temple Square | Wed Feb 26 15:21:39 2003
Shalbane | Shalbane | Within the Dead Forest | Wed Feb 26 15:28:41 2003
Niennah | Shalbane | In the air ... | Wed Feb 26 15:47:26 2003
Lalait | Livien | By the Temple Altar | Wed Feb 26 16:15:21 2003
Okinazi | Reak | The Hallway of Giants | Wed Feb 26 16:23:55 2003
Raider | Seindal | N/S hallway | Wed Feb 26 16:43:20 2003
Livien | Reak | Market Square | Wed Feb 26 16:54:51 2003
Sillior | Marijuana | The Main Street | Wed Feb 26 17:05:21 2003
Sillior | Marijuana | Market Square | Wed Feb 26 17:16:14 2003
Livien | Fordus | Before the Tower | Wed Feb 26 17:26:10 2003
Korbu | Livien | Wall Road | Wed Feb 26 17:52:52 2003
Livien | Fordus | City Entrance | Wed Feb 26 18:07:13 2003
Korbu | Kurdan | The Cross Roads | Wed Feb 26 18:08:08 2003
Volgrath | Volgrath | Library | Wed Feb 26 18:08:18 2003
Fordus | Kurdan | The village shrine | Wed Feb 26 18:18:05 2003
Berro | Gamache | At a muddy track | Wed Feb 26 18:24:02 2003
Laliene | Gamache | Inside the East Gate of Midgaard | Wed Feb 26 18:27:18 2003
Livien | Gamache | Inside the East Gate of Midgaard | Wed Feb 26 18:31:02 2003
Anlodda | Gamache | Market Square | Wed Feb 26 18:36:22 2003
Fierath | Korsh | Market Square | Wed Feb 26 18:46:05 2003
Korsh | Fierath | {YCommon Room{x | Wed Feb 26 19:07:41 2003
Maelgwn | Ckruthen | By the beautiful waterfall | Wed Feb 26 19:51:10 2003
Ckruthen | Gamache | By the beautiful waterfall | Wed Feb 26 19:55:49 2003
Vensharin | Gamache | A large wooden hut | Wed Feb 26 19:56:47 2003
Ckruthen | Desciple | In a small darkened cell | Wed Feb 26 20:55:20 2003
Okinazi | Eminem | At a muddy track | Wed Feb 26 22:53:20 2003
Ckruthen | Jayla | By the Temple Altar | Wed Feb 26 23:38:59 2003
Jayla | Jayla | An Oozing Bog | Wed Feb 26 23:41:01 2003
Razmos | Yaeth | Market Square | Thu Feb 27 00:15:40 2003
Ckruthen | Yaeth | The Temple Square | Thu Feb 27 00:19:04 2003
Razmos | Razmos | Outside the Entrance to the Golden Citadel | Thu Feb 27 01:32:22 2003
Strealk | Strealk | The dwarf forest | Thu Feb 27 05:45:55 2003
Gillasn | Alezath | Outside the East Gate of Midgaard | Thu Feb 27 06:29:48 2003
Strealk | Alezath | A small ugly cave | Thu Feb 27 06:33:49 2003
Alezath | Alezath | Outside the East Gate of Midgaard | Thu Feb 27 06:42:56 2003
Remmshokena | Xzar | The Dark Room | Thu Feb 27 09:24:53 2003
Nodrin | Trylartin | A Muddy Path Through the Waterlogged Timber | Thu Feb 27 09:37:30 2003
Magaga | Xzar | The Dungeon | Thu Feb 27 10:15:06 2003
Strealk | Sylus | A valley in the dark dwarf forest | Thu Feb 27 10:51:27 2003
Strealk | Kilagor | The Cross Roads | Thu Feb 27 11:51:28 2003
Razmos | Jalli | The Cross Roads | Thu Feb 27 11:54:39 2003
Maelgwn | Strealk | The Dragon Sea | Thu Feb 27 12:20:54 2003
Strealk | Gamache | The village shrine | Thu Feb 27 12:27:03 2003
Kurdan | Gamache | The bend in the trail in the dwarf forest | Thu Feb 27 12:28:01 2003
Faunus | Niennah | Grassy fields | Thu Feb 27 14:26:34 2003
Urunivo | Raider | The Southern Side of the Village Square | Thu Feb 27 14:29:39 2003
Niennah | Raider | The Southeastern Corner of the Village Square | Thu Feb 27 14:36:17 2003
Urunivo | Raider | Lost in a misty field | Thu Feb 27 14:41:32 2003
Berro | Niennah | A Dank Hallway | Thu Feb 27 14:53:08 2003
Haerleah | Raider | Fourth Level | Thu Feb 27 15:02:52 2003
Dagnor | Desciple | It is very dark here... | Thu Feb 27 15:29:12 2003
Gamache | Xzar | Grubby Inn | Thu Feb 27 15:50:54 2003
Dagnor | Gamache | By the beautiful waterfall | Thu Feb 27 16:01:15 2003
Gamache | Eminem | The bend in the trail in the dwarf forest | Thu Feb 27 16:02:32 2003
Amarie | Eminem | By the Temple Altar | Thu Feb 27 16:10:49 2003
Gamache | Eminem | The Temple Square | Thu Feb 27 16:16:25 2003
Livien | Jackstrap | The Temple Square | Thu Feb 27 16:20:33 2003
Azmodan | Raider | The main living room | Thu Feb 27 16:39:17 2003
Amarie | Eminem | Inside the West Gate of Midgaard | Thu Feb 27 16:41:26 2003
Allanon | Fuhrman | By the Temple Altar | Thu Feb 27 16:44:41 2003
Yaeth | Fuhrman | The dwarf forest | Thu Feb 27 16:52:03 2003
Darantin | Eminem | By the Temple Altar | Thu Feb 27 17:05:22 2003
Yaeth | Fuhrman | Village street | Thu Feb 27 17:09:49 2003
Yaeth | Eminem | The Entrance | Thu Feb 27 17:11:49 2003
Yaeth | Eminem | The Entrance | Thu Feb 27 17:13:50 2003
Yaeth | Fuhrman | The Entrance | Thu Feb 27 17:15:18 2003
Yaeth | Eminem | The Entrance | Thu Feb 27 17:16:59 2003
Yaeth | Eminem | The Entrance | Thu Feb 27 17:18:45 2003
Yaeth | Eminem | The Entrance | Thu Feb 27 17:19:55 2003
Yaeth | Eminem | The Entrance | Thu Feb 27 17:21:33 2003
Yaeth | Eminem | The Entrance | Thu Feb 27 17:23:22 2003
Dornier | Seindal | Market Square | Thu Feb 27 18:05:15 2003
Livien | Kardon | Entrance to the Grunting Boar Inn | Thu Feb 27 18:11:40 2003
Slarith | Xzar | A hallway in the castle | Thu Feb 27 18:23:08 2003
Draken | Raider | By the beautiful waterfall | Thu Feb 27 18:41:50 2003
Maelgwn | Venristo | By the Temple Altar | Thu Feb 27 18:51:38 2003
Norve | Venristo | The Temple Of Mota | Thu Feb 27 18:56:07 2003
Maelgwn | Norve | Market Square | Thu Feb 27 19:04:46 2003
Zyrd | Raider | Outside the East Gate of Midgaard | Thu Feb 27 19:12:54 2003
Maelgwn | Zyrd | The Cross Roads | Thu Feb 27 19:23:09 2003
Zyrd | Zyrd | Northwest corner of dusty trail. | Thu Feb 27 19:27:54 2003
Treggar | Norve | Big House | Thu Feb 27 19:35:15 2003
Norve | Eminem | By the Temple Altar | Thu Feb 27 19:38:15 2003
Treggar | Eminem | By the Temple Altar | Thu Feb 27 19:38:40 2003
Treggar | Jalli | Entrance to the Dead Forest | Thu Feb 27 19:42:25 2003
Samrik | Raider | A Large Cavern | Thu Feb 27 19:42:35 2003
Norve | Eminem | The Common Square | Thu Feb 27 19:43:54 2003
Norve | Eminem | Market Square | Thu Feb 27 19:48:58 2003
Norve | Eminem | The Common Square | Thu Feb 27 20:18:55 2003
Norve | Sylus | By the beautiful waterfall | Thu Feb 27 20:28:24 2003
Darantin | Eminem | By the Temple Altar | Thu Feb 27 21:23:19 2003
Alezath | Desciple | By the Temple Altar | Thu Feb 27 22:30:18 2003
Alezath | Tyrakiel | By the Temple Altar | Thu Feb 27 22:31:44 2003
Arowyth | Maelgwn | The Void | Thu Feb 27 23:23:52 2003
Maelgwn | Maelgwn | A rough trail | Fri Feb 28 00:09:31 2003
Irqenvu | Eminem | Outside the North Gate of Midgaard | Fri Feb 28 00:16:46 2003
Nodrin | Eminem | Outside the North Gate of Midgaard | Fri Feb 28 00:17:47 2003
Maelgwn | Eminem | A Dank Tunnel | Fri Feb 28 00:22:58 2003
Samrik | Trylartin | The Long Sands | Fri Feb 28 00:44:01 2003
Kaerk | Eminem | The Entrance | Fri Feb 28 00:46:00 2003
Maelgwn | Maelgwn | Small House | Fri Feb 28 00:56:45 2003
Remmshokena | Shalbane | At a muddy track | Fri Feb 28 01:46:55 2003
Trylartin | Desciple | The Dark Road | Fri Feb 28 03:28:32 2003
Duonar | Desciple | The Crossroads | Fri Feb 28 03:37:35 2003
Barabas | Samrik | A trail in the dwarf forest | Fri Feb 28 03:54:07 2003
Trayner | Blobqirt | {YStorm Crest Avenue 500 Block{x | Fri Feb 28 06:21:08 2003
Destilnon | Blobqirt | A Safe Room | Fri Feb 28 07:47:25 2003
Tyrakiel | Xzar | Third Level | Fri Feb 28 08:59:08 2003
Maelgwn | Raider | A Middle-aged templar's room | Fri Feb 28 09:53:14 2003
Barabas | Vensharin | The village shrine | Fri Feb 28 09:55:47 2003
Maelgwn | Xzar | The Serpent's cage | Fri Feb 28 10:20:25 2003
Maelgwn | Hedaya | By the Temple Altar | Fri Feb 28 10:56:51 2003
Hedaya | Maelgwn | By the Temple Altar | Fri Feb 28 11:00:06 2003
Grunklar | Niennah | By the Temple Altar | Fri Feb 28 11:03:51 2003
Niennah | Grunklar | The Triple Junction | Fri Feb 28 11:07:19 2003
Grunklar | Raider | A dark encampment | Fri Feb 28 11:14:04 2003
Hedaya | Sincere | Under the pit | Fri Feb 28 11:24:59 2003
Grunklar | Sincere | Freefall | Fri Feb 28 11:28:04 2003
Aswein | Sincere | Entrance to Priest's Guild | Fri Feb 28 12:01:00 2003
Hedaya | Darphang | By the Temple Altar | Fri Feb 28 13:07:06 2003
Niennah | Niennah | By the Temple Altar | Fri Feb 28 13:35:41 2003
Niennah | Jeronimo | The Entrance | Fri Feb 28 13:56:45 2003
Shalbane | Shalbane | Along the Eastern Road | Fri Feb 28 14:03:31 2003
Thomas | Raider | Entrance Hall to the Guild of Thieves | Fri Feb 28 15:03:46 2003
RageCage | Simon | By the Temple Altar | Fri Feb 28 15:17:01 2003
Maelgwn | Maelgwn | Cave Entrance | Fri Feb 28 15:21:13 2003
Tyrakiel | Zornath | The village shrine | Fri Feb 28 16:42:05 2003
Simon | Fordus | By the Temple Altar | Fri Feb 28 17:46:47 2003
Sincere | Sincere | Outside the Tower | Fri Feb 28 17:58:32 2003
Erty | Maelgwn | By the Temple Altar | Fri Feb 28 18:01:00 2003
Simon | Zornath | By the Temple Altar | Fri Feb 28 18:04:28 2003
Simon | Fordus | At a muddy track | Fri Feb 28 18:14:52 2003
Maelgwn | Fordus | At a muddy track | Fri Feb 28 18:15:07 2003
Simon | Zornath | By the beautiful waterfall | Fri Feb 28 18:15:39 2003
Maelgwn | Zornath | By the beautiful waterfall | Fri Feb 28 18:15:53 2003
Kyouchen | Zornath | At a muddy track | Fri Feb 28 18:18:57 2003
Zornath | Simon | Inside the HQ | Fri Feb 28 18:24:52 2003
Samrik | Samrik | In the depths of the swamp | Fri Feb 28 18:56:17 2003
Samrik | Maelgwn | The Stairs | Fri Feb 28 19:42:59 2003
Kolbien | Zornath | By the Temple Altar | Fri Feb 28 20:11:43 2003
Tikki | Zornath | Entrance to Priest's Guild | Fri Feb 28 20:14:17 2003
Kolbien | Zornath | Market Square | Fri Feb 28 20:28:08 2003
Mondell | Fordus | The Quadruple Junction Under the Dump | Fri Feb 28 20:32:00 2003
Tikki | Maelgwn | A Steep Trail Winding Down Towards a Meadow | Fri Feb 28 20:46:59 2003
Opopas | Zornath | The bend in the trail in the dwarf forest | Fri Feb 28 22:12:11 2003
Opopas | Zornath | At a muddy track | Fri Feb 28 22:12:45 2003
Opopas | Zornath | At a muddy track | Fri Feb 28 22:13:15 2003
Opopas | Zornath | At a muddy track | Fri Feb 28 22:13:47 2003
Opopas | Zornath | Entering the village | Fri Feb 28 22:21:40 2003
Opopas | Zornath | Entering the village | Fri Feb 28 22:22:56 2003
Opopas | Fordus | At a muddy track | Fri Feb 28 22:24:18 2003
Manga | Manga | Graelik's Lair | Fri Feb 28 22:27:34 2003
Zondra | Maelgwn | By the Temple Altar | Fri Feb 28 22:45:31 2003
Iceman | Iceman | The swampy path | Fri Feb 28 23:15:27 2003
Iceman | Maelgwn | A turn in the hallway | Fri Feb 28 23:33:38 2003
Maelgwn | Nosilla | By the Temple Altar | Fri Feb 28 23:44:00 2003
Nosilla | Maelgwn | In the southern swamps | Fri Feb 28 23:59:04 2003
Maelgwn | Maelgwn | Altar of the Damned | Sat Mar  1 00:02:17 2003
Emerath | Emerath | Northeastern corridor | Sat Mar  1 00:11:44 2003
Amin | Maelgwn | The Lane | Sat Mar  1 00:12:08 2003
Zornath | Maelgwn | The Main Street | Sat Mar  1 00:36:18 2003
Amin | Nosilla | In the air... | Sat Mar  1 00:37:54 2003
Maelgwn | Maelgwn | Slave Cage | Sat Mar  1 00:42:28 2003
Nosilla | Zornath | By the beautiful waterfall | Sat Mar  1 00:49:27 2003
Ragecage | Maelgwn | Chamber in the Assassin's Guild | Sat Mar  1 01:08:50 2003
Zornath | Maelgwn | The Mouth of a Cave | Sat Mar  1 02:05:39 2003
Zornath | Maelgwn | The Flickering Tunnel | Sat Mar  1 02:08:03 2003
Trylartin | Raider | Black Hole | Sat Mar  1 04:25:49 2003
Barabas | Eclypse | Room of Laws | Sat Mar  1 05:25:38 2003
Barabas | Eminem | The Entrance | Sat Mar  1 05:33:38 2003
Barabas | Eclypse | The Entrance | Sat Mar  1 05:37:28 2003
Barabas | Eclypse | The Entrance | Sat Mar  1 05:40:31 2003
Bonza | Eminem | Village street | Sat Mar  1 05:54:16 2003
Zyrd | Sylus | By the Temple Altar | Sat Mar  1 07:01:14 2003
Eclypse | Eclypse | A Dirt Path Through the Downs | Sat Mar  1 07:07:25 2003
Eminem | Karabas | By the beautiful waterfall | Sat Mar  1 07:22:55 2003
Gryndis | Karabas | By the beautiful waterfall | Sat Mar  1 07:29:26 2003
Jalli | Eminem | The Entrance | Sat Mar  1 07:37:38 2003
Jalli | Eminem | Inside the HQ | Sat Mar  1 07:38:42 2003
Nodrin | Vaerzlithar | The village shrine | Sat Mar  1 07:40:22 2003
Jalli | Eminem | At a muddy track | Sat Mar  1 07:44:25 2003
Karabas | Karabas | At a muddy track | Sat Mar  1 07:44:30 2003
Jalli | Vaerzlithar | The Entrance | Sat Mar  1 07:58:05 2003
Nodrin | Eminem | The Entrance | Sat Mar  1 07:58:34 2003
Nodrin | Vaerzlithar | The Entrance | Sat Mar  1 08:06:36 2003
Karabas | Vaerzlithar | The Entrance | Sat Mar  1 08:06:43 2003
Jalli | Eminem | The Entrance | Sat Mar  1 08:06:48 2003
Nodrin | Eminem | The Entrance | Sat Mar  1 08:10:30 2003
Jalli | DrDre | The Entrance | Sat Mar  1 08:10:45 2003
Karabas | Vaerzlithar | The Entrance | Sat Mar  1 08:10:48 2003
Jalli | Eminem | The Entrance | Sat Mar  1 08:13:46 2003
Jalli | Eminem | The Entrance | Sat Mar  1 08:23:10 2003
Karabas | Vaerzlithar | The Entrance | Sat Mar  1 08:24:09 2003
Jalli | DrDre | The Entrance | Sat Mar  1 08:25:05 2003
Niennah | DrDre | The Entrance | Sat Mar  1 08:38:10 2003
Sirflfea | Xzar | the hallway | Sat Mar  1 10:02:29 2003
Kjiuvnir | Xzar | Grassy fields | Sat Mar  1 11:34:41 2003
Emerath | Emerath | By the Temple Altar | Sat Mar  1 12:09:03 2003
Tael | Zornath | By the Temple Altar | Sat Mar  1 12:23:01 2003
Tael | Maelgwn | The Main Street | Sat Mar  1 12:26:56 2003
Kjiuvnir | Maelgwn | The Main Street | Sat Mar  1 12:34:42 2003
Ainill | Zornath | Market Square | Sat Mar  1 12:39:22 2003
Maelgwn | Maelgwn | Altar of the Damned | Sat Mar  1 12:50:38 2003
Maelgwn | Musfasa | The Entrance | Sat Mar  1 12:54:49 2003
Maelgwn | Zornath | Inside the HQ | Sat Mar  1 13:01:30 2003
Musfasa | Maelgwn | The Entrance | Sat Mar  1 13:02:23 2003
Musfasa | Maelgwn | The Village Altar | Sat Mar  1 15:30:37 2003
Musfasa | Sylus | In a quiet swampy part of the ruins | Sat Mar  1 15:37:30 2003
Ailirr | Maelgwn | North Gate | Sat Mar  1 15:42:09 2003
Musfasa | Kjiuvnir | The bend in the trail in the dwarf forest | Sat Mar  1 15:48:07 2003
Musfasa | Kjiuvnir | The bend in the trail in the dwarf forest | Sat Mar  1 15:50:28 2003
Musfasa | Gamache | The brawling balcony | Sat Mar  1 15:54:28 2003
Delwin | Samrik | The Goblin Headquarters | Sat Mar  1 16:05:52 2003
Nosilla | Gamache | The bend in the trail in the dwarf forest | Sat Mar  1 16:05:55 2003
Fordus | Gamache | The village shrine | Sat Mar  1 16:10:04 2003
Katja | Maelgwn | A Path in the Garden | Sat Mar  1 17:14:18 2003
Sylus | Amin | Village road | Sat Mar  1 17:23:15 2003
Kbleddon | Sylus | The village shrine | Sat Mar  1 17:40:39 2003
Sylus | Amin | Village road | Sat Mar  1 17:44:13 2003
Amin | Sylus | A trail in the dwarf forest | Sat Mar  1 18:00:20 2003
Maelgwn | Darphang | The Dark Road | Sat Mar  1 18:39:27 2003
Kbleddon | Sincere | The village shrine | Sat Mar  1 18:51:51 2003
Rodd | Banderos | The Center of the Dungeon | Sat Mar  1 20:04:06 2003
Maelgwn | Banderos | Black Hole | Sat Mar  1 20:28:07 2003
Simon | Maelgwn | The Hallway | Sat Mar  1 22:50:10 2003
Maelgwn | Kbleddon | Grassy fields | Sat Mar  1 22:57:33 2003
Maelgwn | Kbleddon | At a muddy track | Sat Mar  1 23:01:28 2003
Maelgwn | Kbleddon | At a muddy track | Sat Mar  1 23:02:05 2003
Nodrin | Banderos | At a muddy track | Sat Mar  1 23:31:00 2003
Banderos | Maelgwn | In the air... | Sat Mar  1 23:39:39 2003
Mzerd | Maelgwn | Inside the Great Hall | Sun Mar  2 00:21:29 2003
Rohhekedon | Eminem | Inside the HQ | Sun Mar  2 02:35:06 2003
Shushak | Shushak | A grey tiled hallway | Sun Mar  2 02:54:44 2003
